	0-000014080
眼睛里不看见什么	000098431-000100633	[["眼睛", ["[yan3 jing5] eye / CL:隻|只[zhi1],雙|双[shuang1]"]], ["里", ["[li3] lining / interior / inside / internal / also written 裡|里[li3]", "[li3] lining / interior / inside / internal / also written 裏|里[li3]", "[Li3] Li (surname)", "[li3] li (Chinese mile) / 500 meters (modern) / home / hometown / village / neighborhood / administrative unit"]], ["不", ["[bu4] (negative prefix) / not / no"]], ["看见", ["[kan4 jian4] to see / to catch sight of"]], ["什么", ["[shen2 me5] what? / who? / something / anything"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["眼", ["[yan3] eye / small hole / crux (of a matter) / CL:隻|只[zhi1],雙|双[shuang1] / classifier for big hollow things (wells, stoves, pots etc)"]], ["睛", ["[jing1] eye / eyeball"]], ["看", ["[kan1] to look after / to take care of / to watch / to guard", "[kan4] to see / to look at / to read / to watch / to consider / to regard as / to view as / to treat as / to judge / (after repeated verb) to give it a try / depending on (how you're judging) / to visit / to call on / to treat (an illness) / to look after / Watch out! (for a danger)"]], ["见", ["[jian4] to see / to meet / to appear (to be sth) / to interview", "[xian4] to appear"]], ["什", ["[shi2] ten (used in fractions, writing checks etc) / assorted / miscellaneous", "[shen2] what"]], ["么", ["[Yao1] surname Yao", "[yao1] youngest / most junior / tiny / one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) / one or ace on dice or dominoes / variant of 吆, to shout", "[ma2] exclamatory final particle", "[ma5] interrogative final particle", "[me5] suffix, used to form interrogative 甚麼|什么, what?, indefinite 這麼|这么 thus etc"]]]
心里也不想着什么	000100633-000103002	[["心里", ["[xin1 li5] chest / heart / mind"]], ["也", ["[Ye3] surname Ye", "[ye3] also / too / (in Classical Chinese) final particle implying affirmation"]], ["不想", ["[bu4 xiang3] unexpectedly"]], ["着", ["[zhao1] (chess) move / trick / all right! / (dialect) to add", "[zhao2] to touch / to come in contact with / to feel / to be affected by / to catch fire / to fall asleep / to burn", "[zhe5] aspect particle indicating action in progress", "[zhuo2] to wear (clothes) / to contact / to use / to apply"]], ["什么", ["[shen2 me5] what? / who? / something / anything"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["心", ["[xin1] heart / mind / intention / centre / core / CL:顆|颗[ke1],個|个[ge4]"]], ["里", ["[li3] lining / interior / inside / internal / also written 裡|里[li3]", "[li3] lining / interior / inside / internal / also written 裏|里[li3]", "[Li3] Li (surname)", "[li3] li (Chinese mile) / 500 meters (modern) / home / hometown / village / neighborhood / administrative unit"]], ["不", ["[bu4] (negative prefix) / not / no"]], ["想", ["[xiang3] to think / to believe / to suppose / to wish / to want / to miss (feel wistful about the absence of sb or sth)"]], ["什", ["[shi2] ten (used in fractions, writing checks etc) / assorted / miscellaneous", "[shen2] what"]], ["么", ["[Yao1] surname Yao", "[yao1] youngest / most junior / tiny / one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military) / one or ace on dice or dominoes / variant of 吆, to shout", "[ma2] exclamatory final particle", "[ma5] interrogative final particle", "[me5] suffix, used to form interrogative 甚麼|什么, what?, indefinite 這麼|这么 thus etc"]]]
要不是手里拿着菜篮子	000103002-000105572	[["要不是", ["[yao4 bu5 shi4] if it were not for / but for"]], ["手里", ["[shou3 li3] in hand / (a situation is) in sb's hands"]], ["拿", ["[na2] to hold / to seize / to catch / to apprehend / to take"]], ["着", ["[zhao1] (chess) move / trick / all right! / (dialect) to add", "[zhao2] to touch / to come in contact with / to feel / to be affected by / to catch fire / to fall asleep / to burn", "[zhe5] aspect particle indicating action in progress", "[zhuo2] to wear (clothes) / to contact / to use / to apply"]], ["菜", ["[cai4] dish (type of food) / vegetables / vegetable / cuisine / CL:盤|盘[pan2],道[dao4]"]], ["篮子", ["[lan2 zi5] basket / CL:隻|只[zhi1]"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["要", ["[yao1] to demand / to request / to coerce", "[yao4] important / vital / to want / will / going to (as future auxiliary) / may / must / (used in a comparison) must be / probably"]], ["不", ["[bu4] (negative prefix) / not / no"]], ["是", ["[shi4] is / are / am / yes / to be"]], ["手", ["[shou3] hand / (formal) to hold / person engaged in certain types of work / person skilled in certain types of work / personal(ly) / convenient / CL:雙|双[shuang1],隻|只[zhi1]"]], ["里", ["[li3] lining / interior / inside / internal / also written 裡|里[li3]", "[li3] lining / interior / inside / internal / also written 裏|里[li3]", "[Li3] Li (surname)", "[li3] li (Chinese mile) / 500 meters (modern) / home / hometown / village / neighborhood / administrative unit"]], ["篮", ["[lan2] basket / goal"]], ["子", ["[zi3] son / child / seed / egg / small thing / 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat / Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]", "[zi5] (noun suffix)"]]]
跟我先生生病吃的药	000105572-000108007	[["跟", ["[gen1] heel / to follow closely / to go with / to marry sb (of woman) / with / towards / as (compared to) / from (different from) / and (in addition to)"]], ["我", ["[wo3] I / me / my"]], ["先生", ["[Xian1 sheng5] Mister (Mr.)", "[xian1 sheng5] teacher / husband / doctor (topolect) / CL:位[wei4]"]], ["生病", ["[sheng1 bing4] to fall ill"]], ["吃", ["[chi1] to eat / to consume / to eat at (a cafeteria etc) / to eradicate / to destroy / to absorb / to suffer", "[ji2] stammer"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["药", ["[yao4] leaf of the iris / variant of 藥|药[yao4]", "[yao4] medicine / drug / cure / CL:種|种[zhong3],服[fu4]"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["先", ["[xian1] early / prior / former / in advance / first"]], ["生", ["[sheng1] to be born / to give birth / life / to grow / raw, uncooked"]], ["病", ["[bing4] illness / CL:場|场[chang2] / disease / to fall ill / defect"]]]
也许就整天不曰家	000108007-000111010	[["也许", ["[ye3 xu3] perhaps / maybe"]], ["就", ["[jiu4] at once / right away / only / just (emphasis) / as early as / already / as soon as / then / in that case / as many as / even if / to approach / to move towards / to undertake / to engage in / to suffer / subjected to / to accomplish / to take advantage of / to go with (of foods) / with regard to / concerning"]], ["整天", ["[zheng3 tian1] all day long / whole day"]], ["不", ["[bu4] (negative prefix) / not / no"]], ["曰", ["[yue1] to speak / to say"]], ["家", ["[Jia1] surname Jia", "[jia1] home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian / CL:個|个[ge4]"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["也", ["[Ye3] surname Ye", "[ye3] also / too / (in Classical Chinese) final particle implying affirmation"]], ["许", ["[Xu3] surname Xu", "[xu3] to allow / to permit / to promise / to praise / somewhat / perhaps"]], ["整", ["[zheng3] exactly / in good order / whole / complete / entire / in order / orderly / to repair / to mend / to renovate / (coll.) to fix sb / to give sb a hard time / to mess with sb"]], ["天", ["[tian1] day / sky / heaven"]]]
也许就整天不曰家	000111010-000121688	[["也许", ["[ye3 xu3] perhaps / maybe"]], ["就", ["[jiu4] at once / right away / only / just (emphasis) / as early as / already / as soon as / then / in that case / as many as / even if / to approach / to move towards / to undertake / to engage in / to suffer / subjected to / to accomplish / to take advantage of / to go with (of foods) / with regard to / concerning"]], ["整天", ["[zheng3 tian1] all day long / whole day"]], ["不", ["[bu4] (negative prefix) / not / no"]], ["曰", ["[yue1] to speak / to say"]], ["家", ["[Jia1] surname Jia", "[jia1] home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian / CL:個|个[ge4]"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["也", ["[Ye3] surname Ye", "[ye3] also / too / (in Classical Chinese) final particle implying affirmation"]], ["许", ["[Xu3] surname Xu", "[xu3] to allow / to permit / to promise / to praise / somewhat / perhaps"]], ["整", ["[zheng3] exactly / in good order / whole / complete / entire / in order / orderly / to repair / to mend / to renovate / (coll.) to fix sb / to give sb a hard time / to mess with sb"]], ["天", ["[tian1] day / sky / heaven"]]]
家在一个小巷里	000121688-000124224	[["家", ["[Jia1] surname Jia", "[jia1] home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian / CL:個|个[ge4]"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["一", ["[yi1] one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / \"one\" radical in Chinese characters (Kangxi radical 1)"]], ["个", ["[ge4] individual / this / that / size / classifier for people or objects in general", "[ge4] variant of 個|个[ge4]"]], ["小巷", ["[xiao3 xiang4] alley"]], ["里", ["[li3] lining / interior / inside / internal / also written 裡|里[li3]", "[li3] lining / interior / inside / internal / also written 裏|里[li3]", "[Li3] Li (surname)", "[li3] li (Chinese mile) / 500 meters (modern) / home / hometown / village / neighborhood / administrative unit"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["小", ["[xiao3] small / tiny / few / young"]], ["巷", ["[xiang4] lane / alley"]]]
“经过一条小桥，就是我们家的后门	000124224-000128628	[["经过", ["[jing1 guo4] to pass / to go through / process / course / CL:個|个[ge4]"]], ["一", ["[yi1] one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / \"one\" radical in Chinese characters (Kangxi radical 1)"]], ["条", ["[tiao2] strip / item / article / clause (of law or treaty) / classifier for long thin things (ribbon, river, road, trousers etc)"]], ["小桥", ["[Xiao3 Qiao2] Xiao Qiao, one of the Two Qiaos, according to Romance of the Three Kingdoms 三國演義|三国演义[San1 guo2 Yan3 yi4], the two great beauties of ancient China"]], ["就是", ["[jiu4 shi4] (emphasizes that sth is precisely or exactly as stated) / precisely / exactly / even / if / just like / in the same way as"]], ["我们", ["[wo3 men5] we / us / ourselves / our"]], ["家的", ["[jia1 de5] (old) wife"]], ["后门", ["[hou4 men2] the back door / fig. under the counter (indirect way for influence or pressure) / anus"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["经", ["[Jing1] surname Jing", "[jing1] classics / sacred book / scripture / to pass through / to undergo / warp / longitude / abbr. for economics 經濟|经济[jing1 ji4]"]], ["过", ["[Guo4] surname Guo", "[guo4] (experienced action marker) / to cross / to go over / to pass (time) / to celebrate (a holiday) / to live / to get along / excessively / too-"]], ["小", ["[xiao3] small / tiny / few / young"]], ["桥", ["[qiao2] bridge / CL:座[zuo4]"]], ["就", ["[jiu4] at once / right away / only / just (emphasis) / as early as / already / as soon as / then / in that case / as many as / even if / to approach / to move towards / to undertake / to engage in / to suffer / subjected to / to accomplish / to take advantage of / to go with (of foods) / with regard to / concerning"]], ["是", ["[shi4] is / are / am / yes / to be"]], ["我", ["[wo3] I / me / my"]], ["们", ["[men5] plural marker for pronouns, and nouns referring to individuals"]], ["家", ["[Jia1] surname Jia", "[jia1] home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian / CL:個|个[ge4]"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["后", ["[Hou4] surname Hou", "[hou4] empress / queen", "[hou4] back / behind / rear / afterwards / after / later"]], ["门", ["[Men2] surname Men", "[men2] gate / door / CL:扇[shan4] / gateway / doorway / CL:個|个[ge4] / opening / valve / switch / way to do something / knack / family / house / (religious) sect / school (of thought) / class / category / phylum or division (taxonomy) / classifier for large guns / classifier for lessons, subjects, branches of technology"]]]
现在家里只有一个佣人	000128628-000131564	[["现在", ["[xian4 zai4] now / at present / at the moment / modern / current / nowadays"]], ["家里", ["[jia1 li3] home"]], ["只有", ["[zhi3 you3] only"]], ["一", ["[yi1] one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / \"one\" radical in Chinese characters (Kangxi radical 1)"]], ["个", ["[ge4] individual / this / that / size / classifier for people or objects in general", "[ge4] variant of 個|个[ge4]"]], ["佣人", ["[yong1 ren2] servant"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["现", ["[xian4] to appear / present / now / existing / current"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["家", ["[Jia1] surname Jia", "[jia1] home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian / CL:個|个[ge4]"]], ["里", ["[li3] lining / interior / inside / internal / also written 裡|里[li3]", "[li3] lining / interior / inside / internal / also written 裏|里[li3]", "[Li3] Li (surname)", "[li3] li (Chinese mile) / 500 meters (modern) / home / hometown / village / neighborhood / administrative unit"]], ["只", ["[zhi3] only / merely / just / but", "[zhi3] but / only", "[zhi1] classifier for birds and certain animals, one of a pair, some utensils, vessels etc"]], ["有", ["[you3] to have / there is / there are / to exist / to be"]], ["佣", ["[yong4] commission (for middleman) / brokerage fee", "[yong1] to hire / to employ / servant / hired laborer / domestic help"]], ["人", ["[ren2] man / person / people / CL:個|个[ge4],位[wei4]"]]]
老黄总把药罐里的药渣倒在后门口	000131564-000136136	[["老", ["[lao3] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity / old (of people) / venerable (person) / experienced / of long standing / always / all the time / of the past / very / outdated / (of meat etc) tough"]], ["黄", ["[Huang2] surname Huang or Hwang", "[huang2] yellow / pornographic / to fall through"]], ["总", ["[zong3] always / to assemble / gather / total / overall / head / chief / general / in every case"]], ["把", ["[ba3] to hold / to contain / to grasp / to take hold of / handle / particle marking the following noun as a direct object / classifier for objects with handle / classifier for small objects: handful", "[ba4] handle"]], ["药罐", ["[yao4 guan4] pot for decocting herbal medicine"]], ["里", ["[li3] lining / interior / inside / internal / also written 裡|里[li3]", "[li3] lining / interior / inside / internal / also written 裏|里[li3]", "[Li3] Li (surname)", "[li3] li (Chinese mile) / 500 meters (modern) / home / hometown / village / neighborhood / administrative unit"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["药渣", ["[yao4 zha4] dregs of a decoction"]], ["倒", ["[dao3] to fall / to collapse / to topple / to fail / to go bankrupt / to change (trains or buses) / to move around / to sell / to speculate (buying and selling, also 搗|捣) / profiteer", "[dao4] to place upside down / to invert / to pour / to throw out / to move backwards / however / actually / as a matter of fact / contrary to expectation"]], ["在后", ["[zai4 hou4] behind"]], ["门口", ["[men2 kou3] doorway / gate / CL:個|个[ge4]"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["药", ["[yao4] leaf of the iris / variant of 藥|药[yao4]", "[yao4] medicine / drug / cure / CL:種|种[zhong3],服[fu4]"]], ["罐", ["[guan4] can / jar / pot"]], ["渣", ["[zha1] slag (in mining or smelting) / dregs"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["后", ["[Hou4] surname Hou", "[hou4] empress / queen", "[hou4] back / behind / rear / afterwards / after / later"]], ["门", ["[Men2] surname Men", "[men2] gate / door / CL:扇[shan4] / gateway / doorway / CL:個|个[ge4] / opening / valve / switch / way to do something / knack / family / house / (religious) sect / school (of thought) / class / category / phylum or division (taxonomy) / classifier for large guns / classifier for lessons, subjects, branches of technology"]], ["口", ["[kou3] mouth / classifier for things with mouths (people, domestic animals, cannons, wells etc) / classifier for bites or mouthfuls"]]]
