Ich wäre so gern...	Ich wäre so gern...	Ich wäre so gern...	I would be so happy ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>wäre</td><td></td><td>would</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>gern...</td><td></td><td>like ...</td></tr></table>	[sound:lola-000116000-000118000.mp4]
Und immer wieder die gleiche Antwort?	Und ___ ___ die gleiche ___	Und <span class="learn">immer</span> <span class="learn">wieder</span> die gleiche <span class="learn">Antwort?</span>	And always the same answer ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>immer</td><td>all along // always // alway [archaic] // aye  [Scot., N.Engl. and N. Ireland dialect: always] // azways [Jam.] // e'er [poet.] [ever] // ever // forever // invariably // throughout </td><td>always</td></tr><tr><td>wieder</td><td>afresh // again // once more  [again] </td><td>again</td></tr><tr><td>die</td><td>that // the // these // this one // which // who </td><td>the</td></tr><tr><td>gleiche</td><td></td><td>same</td></tr><tr><td>Antwort?</td><td></td><td>Answer?</td></tr></table>	[sound:lola-000173053-000177483.mp4]
Ball is rund, Spiel dauert 90 Minuten. Soviel is schon mal klar.	Ball is rund, ___ dauert 90  ___ Soviel is ___ mal ___	Ball is rund, <span class="learn">Spiel</span> dauert 90 <span class="learn">Minuten.</span> Soviel is <span class="learn">schon</span> mal <span class="learn">klar.</span>	Ball is round, game lasts  minutes. So much is ever clear.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ball</td><td></td><td>ball</td></tr><tr><td>is</td><td></td><td>is</td></tr><tr><td>rund,</td><td></td><td>round,</td></tr><tr><td>Spiel</td><td></td><td>match</td></tr><tr><td>dauert</td><td></td><td>takes</td></tr><tr><td>90</td><td></td><td></td></tr><tr><td>Minuten.</td><td></td><td>Minutes.</td></tr><tr><td>Soviel</td><td></td><td>much</td></tr><tr><td>is</td><td></td><td>is</td></tr><tr><td>schon</td><td>already // as early as // yet [already] </td><td>already</td></tr><tr><td>mal</td><td>times </td><td>times</td></tr><tr><td>klar.</td><td></td><td>clear.</td></tr></table>	[sound:lola-000179524-000184954.mp4]
Alles andere is Theorie.	___ ___ is Theorie.	<span class="learn">Alles</span> <span class="learn">andere</span> is Theorie.	Everything else is theory.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Alles</td><td></td><td>Everything</td></tr><tr><td>andere</td><td>another // different // other // others </td><td>other</td></tr><tr><td>is</td><td></td><td>is</td></tr><tr><td>Theorie.</td><td></td><td>Theory.</td></tr></table>	[sound:lola-000185015-000187415.mp4]
Und ab!	Und ab!	Und ab!	And down !	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>ab!</td><td></td><td>from !</td></tr></table>	[sound:lola-000188495-000189685.mp4]
- Manni? - Lola.	-  ___ -  Lola.	- <span class="learn">Manni?</span> - Lola.	Manni ?  Lola.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Manni?</td><td></td><td>Manni ?</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Lola.</td><td></td><td>Lola.</td></tr></table>	[sound:lola-000304411-000306411.mp4]
Was ist denn? Wo bist du?	Was ist denn? Wo bist du?	Was ist denn? Wo bist du?	What is it? Where are you?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Was</td><td></td><td>What</td></tr><tr><td>ist</td><td></td><td>is</td></tr><tr><td>denn?</td><td></td><td>because ?</td></tr><tr><td>Wo</td><td></td><td>where</td></tr><tr><td>bist</td><td></td><td>are</td></tr><tr><td>du?</td><td></td><td>you ?</td></tr></table>	[sound:lola-000306481-000308781.mp4]
Wo ich bin? Wo warst du denn, verdammt?	Wo ich ___ Wo ___ du denn, ___	Wo ich <span class="learn">bin?</span> Wo <span class="learn">warst</span> du denn, <span class="learn">verdammt?</span>	Where am I ? Where were you , dammit ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Wo</td><td></td><td>where</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>bin?</td><td></td><td>I?</td></tr><tr><td>Wo</td><td></td><td>where</td></tr><tr><td>warst</td><td></td><td>were</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>denn,</td><td></td><td>because ,</td></tr><tr><td>verdammt?</td><td></td><td>damn ?</td></tr></table>	[sound:lola-000308851-000311581.mp4]
Du warst schon weg. Ich kam zu spät.	Du ___ ___ ___ Ich ___ zu ___	Du <span class="learn">warst</span> <span class="learn">schon</span> <span class="learn">weg.</span> Ich <span class="learn">kam</span> zu <span class="learn">spät.</span>	You were already gone. I was too late .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Du</td><td></td><td>you</td></tr><tr><td>warst</td><td></td><td>were</td></tr><tr><td>schon</td><td>already // as early as // yet [already] </td><td>already</td></tr><tr><td>weg.</td><td></td><td>away .</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>kam</td><td></td><td>came</td></tr><tr><td>zu</td><td>anent [esp. Scot.] [archaic] // at // for // to // toward // towards // unto  [archaic / literary] </td><td>to</td></tr><tr><td>spät.</td><td></td><td>late.</td></tr></table>	[sound:lola-000311652-000313132.mp4]
Wieso kommst du ausgerechnet heute zu spät? Du bist doch immer pünktlich. Immer!	___ ___ du ausgerechnet ___ zu ___ Du bist doch ___ pünktlich. ___	<span class="learn">Wieso</span> <span class="learn">kommst</span> du ausgerechnet <span class="learn">heute</span> zu <span class="learn">spät?</span> Du bist doch <span class="learn">immer</span> pünktlich. <span class="learn">Immer!</span>	Why did you come today of all days to be late? Youre always on time. Always!	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Wieso</td><td></td><td>Why</td></tr><tr><td>kommst</td><td></td><td>come</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>ausgerechnet</td><td>calculated // just // of all things </td><td>of all</td></tr><tr><td>heute</td><td>nowadays // this day // this present day // today </td><td>today</td></tr><tr><td>zu</td><td>anent [esp. Scot.] [archaic] // at // for // to // toward // towards // unto  [archaic / literary] </td><td>to</td></tr><tr><td>spät?</td><td></td><td>late?</td></tr><tr><td>Du</td><td></td><td>you</td></tr><tr><td>bist</td><td></td><td>are</td></tr><tr><td>doch</td><td>after all // but // however // nevertheless // on the contrary // still // too  [Am. coll.: certainly] // yet // you know ... </td><td>but</td></tr><tr><td>immer</td><td>all along // always // alway [archaic] // aye  [Scot., N.Engl. and N. Ireland dialect: always] // azways [Jam.] // e'er [poet.] [ever] // ever // forever // invariably // throughout </td><td>always</td></tr><tr><td>pünktlich.</td><td></td><td>on time.</td></tr><tr><td>Immer!</td><td></td><td>Always!</td></tr></table>	[sound:lola-000313132-000316462.mp4]
- Das Moped ist geklaut worden. - Was?	-  Das Moped ist geklaut worden. -  Was?	- Das Moped ist geklaut worden. - Was?	The moped has been stolen.  What?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Das</td><td></td><td>the</td></tr><tr><td>Moped</td><td></td><td>moped</td></tr><tr><td>ist</td><td></td><td>is</td></tr><tr><td>geklaut</td><td>pinched  [coll.] [stolen] // shoplifted </td><td>stolen</td></tr><tr><td>worden.</td><td></td><td>Service.</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Was?</td><td>Huh? [coll.] // What? [Roman Polanski] </td><td>What?</td></tr></table>	[sound:lola-000316532-000317982.mp4]
- Ja, ich... Ist doch jetzt egal...! - Das ist überhaupt nicht egal!	-  Ja, ich... Ist doch jetzt ___ -  Das ist ___ nicht ___	- Ja, ich... Ist doch jetzt <span class="learn">egal...!</span> - Das ist <span class="learn">überhaupt</span> nicht <span class="learn">egal!</span>	Yes, I ... Now is not care ... !  This is not at all care!	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Ja,</td><td></td><td>Yes ,</td></tr><tr><td>ich...</td><td></td><td>I ...</td></tr><tr><td>Ist</td><td></td><td>is</td></tr><tr><td>doch</td><td>after all // but // however // nevertheless // on the contrary // still // too  [Am. coll.: certainly] // yet // you know ... </td><td>but</td></tr><tr><td>jetzt</td><td>at the moment // currently // now </td><td>now</td></tr><tr><td>egal...!</td><td></td><td>anyway ... !</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Das</td><td></td><td>the</td></tr><tr><td>ist</td><td></td><td>is</td></tr><tr><td>überhaupt</td><td>absolutely // after all // altogether // anyway // at all [in negative contexts] // even  [used as intensive to indicate something unexpected] // ever // generally </td><td>at all</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>egal!</td><td></td><td>care!</td></tr></table>	[sound:lola-000317992-000321232.mp4]
Was ist denn los?	Was ist denn ___	Was ist denn <span class="learn">los?</span>	What s going on?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Was</td><td></td><td>What</td></tr><tr><td>ist</td><td></td><td>is</td></tr><tr><td>denn</td><td>'cause  [coll.] [because] // because // cos  [Br.]  [coll.] [because] // for  [since] // in as much as // since  [because] </td><td>because</td></tr><tr><td>los?</td><td></td><td>going on?</td></tr></table>	[sound:lola-000322053-000323363.mp4]
Mann, das war nicht meine Schuld. Ich war nur kurz Kippen holen.	Mann, das war nicht ___ ___ Ich war ___ ___ Kippen holen.	Mann, das war nicht <span class="learn">meine</span> <span class="learn">Schuld.</span> Ich war <span class="learn">nur</span> <span class="learn">kurz</span> Kippen holen.	Man, that was not my fault. I was only briefly get butts.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Mann,</td><td></td><td>man,</td></tr><tr><td>das</td><td>that // the // what // which // who </td><td>the</td></tr><tr><td>war</td><td></td><td>was</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>meine</td><td></td><td>my</td></tr><tr><td>Schuld.</td><td></td><td>Fault.</td></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>war</td><td></td><td>was</td></tr><tr><td>nur</td><td>as little as // but [only] // just  [only] // mere // merely // nobbut [Br.] [dial.] // no better than // no more than // none but // nothing but // only // solely </td><td>only</td></tr><tr><td>kurz</td><td>brief // briefly // compendiously // concise // curt // curtly // cutty  [Scot.]  [N. Eng.] // fleeting // short-time // short // succinct // tout court </td><td>short</td></tr><tr><td>Kippen</td><td></td><td>tilt</td></tr><tr><td>holen.</td><td></td><td>pick .</td></tr></table>	[sound:lola-000323363-000327433.mp4]
Da war so'n Typ. Der war so schnell, das gibt's gar nicht.	Da war ___ ___ Der war so ___ das gibt's ___ nicht.	Da war <span class="learn">so'n</span> <span class="learn">Typ.</span> Der war so <span class="learn">schnell,</span> das gibt's <span class="learn">gar</span> nicht.	There was son type. He was so fast, that s not at all.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Da</td><td></td><td>since</td></tr><tr><td>war</td><td></td><td>was</td></tr><tr><td>so'n</td><td></td><td>son</td></tr><tr><td>Typ.</td><td></td><td>Type .</td></tr><tr><td>Der</td><td></td><td>the</td></tr><tr><td>war</td><td></td><td>was</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>schnell,</td><td></td><td>quickly ,</td></tr><tr><td>das</td><td>that // the // what // which // who </td><td>the</td></tr><tr><td>gibt's</td><td></td><td>s</td></tr><tr><td>gar</td><td>cooked // done  [fully cooked] </td><td>even</td></tr><tr><td>nicht.</td><td>diddly [coll.] // naught // nil // none // nothing // nought // nowt [Br.] [dialect pronunciation of nought] // nuffink [coll.] [nothing] // nuffin [coll.] [nothing] // nuttin' [Am.] [sl.] [nothing] </td><td>does not .</td></tr></table>	[sound:lola-000328674-000331224.mp4]
Der war weg, bevor ich draußen war.	Der war ___ bevor ich draußen war.	Der war <span class="learn">weg,</span> bevor ich draußen war.	He was gone before I was out.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Der</td><td></td><td>the</td></tr><tr><td>war</td><td></td><td>was</td></tr><tr><td>weg,</td><td></td><td>away ,</td></tr><tr><td>bevor</td><td>before // ere  [archaic] </td><td>before</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>draußen</td><td>abroad  [archaic] [outside, outdoors] // a door [Jam.] // afield // in the open // outdoors // out of doors // outside // out there </td><td>out</td></tr><tr><td>war.</td><td>thermal // warm // warmly </td><td>was .</td></tr></table>	[sound:lola-000331304-000334934.mp4]
Dabei hab ich sogar ein Taxi genommen.	Dabei hab ich sogar ein Taxi genommen.	Dabei hab ich sogar ein Taxi genommen.	And Ive even taken a taxi.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Dabei</td><td></td><td>there</td></tr><tr><td>hab</td><td></td><td>have</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>sogar</td><td>actually // as a matter of fact // even // in fact // yet [even] </td><td>even</td></tr><tr><td>ein</td><td>a // any [one of many] // an [masculine subject / neuter subject or direct object] // on // one </td><td>one</td></tr><tr><td>Taxi</td><td></td><td>taxi</td></tr><tr><td>genommen.</td><td></td><td>reference.</td></tr></table>	[sound:lola-000335005-000336735.mp4]
Dieser dämliche Vollidiot fährt in den Osten, da gibt's auch 'ne Grunewaldstraße.	___ dämliche Vollidiot fährt in den Osten, da gibt's auch 'ne Grunewaldstraße.	<span class="learn">Dieser</span> dämliche Vollidiot fährt in den Osten, da gibt's auch 'ne Grunewaldstraße.	This stupid idiot goes to the East , theres also  ne Grunewaldstraße .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Dieser</td><td></td><td>this</td></tr><tr><td>dämliche</td><td></td><td>stupid</td></tr><tr><td>Vollidiot</td><td></td><td>idiot</td></tr><tr><td>fährt</td><td></td><td>moves</td></tr><tr><td>in</td><td>at // in // inside // into // on </td><td>in</td></tr><tr><td>den</td><td>that one [masculine direct object] // the // this one [masculine direct object] // this {determiner} [masculine direct object] // whom </td><td>the</td></tr><tr><td>Osten,</td><td></td><td>East,</td></tr><tr><td>da</td><td></td><td>because</td></tr><tr><td>gibt's</td><td></td><td>s</td></tr><tr><td>auch</td><td>also // as well // item  [archaic] // too [in addition, also] </td><td>also</td></tr><tr><td>'ne</td><td></td><td>ne</td></tr><tr><td>Grunewaldstraße.</td><td></td><td>Grunewaldstraße .</td></tr></table>	[sound:lola-000336805-000339865.mp4]
Und ich seh das erst viel zu spät.	Und ich ___ das ___ ___ zu ___	Und ich <span class="learn">seh</span> das <span class="learn">erst</span> <span class="learn">viel</span> zu <span class="learn">spät.</span>	And I see it until much too late.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>seh</td><td></td><td>seh</td></tr><tr><td>das</td><td>that // the // what // which // who </td><td>the</td></tr><tr><td>erst</td><td>as recently as // first // only // primal </td><td>only</td></tr><tr><td>viel</td><td>lotsa [sl.] [lots of] [Am.] // lots  [coll.] // much </td><td>much</td></tr><tr><td>zu</td><td>anent [esp. Scot.] [archaic] // at // for // to // toward // towards // unto  [archaic / literary] </td><td>to</td></tr><tr><td>spät.</td><td></td><td>late.</td></tr></table>	[sound:lola-000339945-000342645.mp4]
Ich hab einfach nicht dran gedacht. Ich... war noch durcheinander wegen unserem Moped.	Ich hab einfach nicht dran gedacht. Ich... war ___ durcheinander ___ unserem Moped.	Ich hab einfach nicht dran gedacht. Ich... war <span class="learn">noch</span> durcheinander <span class="learn">wegen</span> unserem Moped.	I just did not think of it . I ... was still upset about our moped.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>hab</td><td></td><td>have</td></tr><tr><td>einfach</td><td>barely  [archaic] [simply] // basic // easy // elementary // facile  [simple] // frugal // homely [unpretentious] // humble // just // lowly // ordinary [plain] // plain // plainly // primitive // rudely // simple // simpleminded // simplemindedly // simply // straightforward // uncomplex </td><td>simply</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>dran</td><td></td><td>off</td></tr><tr><td>gedacht.</td><td></td><td>thought .</td></tr><tr><td>Ich...</td><td></td><td>I ...</td></tr><tr><td>war</td><td></td><td>was</td></tr><tr><td>noch</td><td>as yet // nor // still // yet [still] </td><td>more</td></tr><tr><td>durcheinander</td><td>all over the place [disorganised, confused, also of persons] // all over the shop [Br.] [coll.] [in a state of disorder] // balled up [Am.] [coll. for: confused] // bedlam // bumfuzzled  [Am.]  [coll.] // confused // discombobulated [coll.] // flustered // higgledy-piggledy  [coll.] // in a muddle // in a shambles // in confusion // jumbled // messy // muddled // pell-mell // promiscuously // upset // upside down </td><td>confused</td></tr><tr><td>wegen</td><td></td><td>because</td></tr><tr><td>unserem</td><td></td><td>our</td></tr><tr><td>Moped.</td><td></td><td>Moped.</td></tr></table>	[sound:lola-000342716-000346816.mp4]
